array_size,uniform_bcis,uniform_qs,uniform_is,uniform_bcis/qs,uniform_bcis/is,binomial_bcis,binomial_qs,binomial_is,binomial_bcis/qs,binomial_bcis/is,poisson_bcis,poisson_qs,poisson_is,poisson_bcis/qs,poisson_bcis/is,normal_bcis,normal_qs,normal_is,normal_bcis/qs,normal_bcis/is,real_bcis,real_qs,real_is,real_bcis/qs,real_bcis/is
2000,3.381928499999958,101.15860499999962,0.08422190000010232,0.03343194086158039,40.154977505801334,3.4773270999999113,101.86275819999992,0.07303070000034495,0.034137374261675096,47.614593588497534,3.0151864999997997,102.69400850000011,0.07899090000000797,0.02936088038670529,38.17131467041767,3.506445199999689,98.16182500000014,0.07698369999980059,0.03572106773686903,45.547891306975,2.373958599999696,97.48660080000036,0.07991709999987506,0.024351639923008653,29.7052645804641
2100,3.861711799999739,107.87246619999951,0.07848289999947156,0.035798864492816766,49.20449932438456,3.4127441999999064,108.15166820000013,0.08218329999999696,0.03155516929881163,41.52600589170832,3.4242364000001544,107.71053659999961,0.08047360000000481,0.03179109962766787,42.55105276761509,3.6343440999999075,107.81661299999996,0.07602829999996175,0.03370857235146043,47.80251695752418,2.7445890999997573,107.27281000000039,0.0816899999999805,0.025585132896208715,33.59761415106393
2200,3.7864942000005612,118.60853959999986,0.08884330000000773,0.03192429662122377,42.61991844067287,3.409387499999866,118.09818300000006,0.08974310000030528,0.028869093608323036,37.99052517673524,3.424673200000143,123.8450668000005,0.07706259999940812,0.02765288346552153,44.44014606341398,3.8283110000002125,118.75549750000027,0.08356539999931556,0.03223691602151053,45.81215431304784,2.62847740000052,117.82356040000013,0.0826773000007961,0.022308589140211697,31.792008205096327
2300,3.5052214999996067,129.2898679,0.08355159999973694,0.027111339480296637,41.9527752910853,3.394144900000356,128.84045640000022,0.08805279999978666,0.026343782029635453,38.54670038895503,3.875768999999309,129.35100059999968,0.07809720000022935,0.029963193033075916,49.62750265038858,3.948210900000049,129.02135540000017,0.0894295999996757,0.030601220144987284,44.1488153811978,3.287296900000001,135.06012980000014,0.08498450000024604,0.024339506447001783,38.68113479505656
2400,4.305671400000392,147.14209029999984,0.08929209999951127,0.02926199696648184,48.220070980791796,4.012802700000066,141.3382313000002,0.08629539999947156,0.028391488014892545,46.50077176795795,3.1633740000006583,147.5330557999996,0.08811880000030214,0.021441798130237513,35.89896821098122,3.791890599999533,147.44819089999964,0.08916820000013104,0.02571676584741022,42.52514461426787,3.4368783999998413,143.77231649999976,0.08988550000049145,0.023905008166157267,38.2361826988897
2500,4.289648599999964,155.60709399999996,0.09058870000080788,0.02756717891023635,47.353020850963844,4.021765399999822,152.92742720000024,0.09443009999995411,0.02629852259752014,42.58986700217173,3.9851212000003216,155.47207489999982,0.10317829999985406,0.025632392200101307,38.62363694697391,4.248239800000192,153.17590829999972,0.09719010000026174,0.027734386217445398,43.710622789654,2.4880392000004576,154.20262279999952,0.08984570000029635,0.016134869529602226,27.692357007539048
2600,4.5766843000001245,166.37098940000033,0.09781719999955385,0.02750890835298546,46.78813439784618,3.859483899999759,165.3842354999997,0.09997289999955683,0.02333646788239237,38.60530103674964,4.394490300000143,164.7952664000004,0.10253560000001016,0.026666362426537103,42.85819071619718,4.680943399999705,168.18934249999984,0.09472419999929116,0.027831391278550898,49.416552475869246,3.261351900000591,173.1429751000005,0.1041720000011992,0.018836178009052712,31.30737530202979
2700,4.915841400001227,180.1065120000003,0.09586300000046322,0.027294079183551225,51.27986188599849,4.127414500000668,177.99453080000058,0.09859099999994214,0.02318843439430362,41.864008885223704,3.848303400000077,181.63044780000018,0.10660680000000866,0.021187545626918138,36.09810443611256,4.5042690000009316,185.38954410000042,0.10173600000052829,0.02429624077165483,44.27409176670541,3.863858099999561,178.0200901999997,0.0991782000000967,0.02170461825774071,38.958743957803165
2800,4.94124550000015,196.05838409999888,0.09833650000109628,0.02520292882491516,50.24833606997466,4.157749300000432,194.9668485000002,0.10613170000033278,0.021325416766945528,39.17537644254634,4.5248164999993605,193.07061610000164,0.09861280000041006,0.02343607013537324,45.8846772425136,4.566369599999234,194.27304560000084,0.11461840000083612,0.023504905613108966,39.83976045701147,3.4377592999990156,193.7767729999996,0.09782219999942754,0.0177408223223896,35.14293585729143
2900,5.239942099999098,208.93579089999912,0.10547829999995884,0.025079198147085483,49.67791574192173,4.775894799999151,208.02788970000074,0.11024090000137221,0.022957954372783956,43.322349508573524,5.368029899998874,208.35943670000051,0.11065609999968729,0.02576331547549658,48.51092619398337,5.397005299999364,215.3903535999998,0.10472830000071554,0.025056857049513517,51.53339928140235,4.498006499999974,213.58988940000017,0.11435069999970437,0.02105907968132489,39.335189902743075
3000,5.148394700001518,224.77267869999923,0.10376700000051642,0.02290489542491507,49.6149517667071,4.5322808000000805,220.83972600000016,0.11273770000116201,0.020522941601548977,40.20199808895663,4.631273000000874,221.4002304000005,0.10971860000063316,0.02091810379615966,42.21046385912825,5.5273908999988635,221.1536165999987,0.10668149999946763,0.02499344566449607,51.81208456973746,4.872437899999568,220.77472460000172,0.10918259999925795,0.022069726998085584,44.62650550575534
3100,5.087805400000434,235.7425662000005,0.10999289999926987,0.0215820396036752,46.25576196312859,4.808807500001421,244.47309049999967,0.11286589999872376,0.01967008921172626,42.60638066994369,5.611955899999884,245.41651679999995,0.10846529999980703,0.02286706686727731,51.73964300112449,5.821152000000438,243.82293930000014,0.1128472000000329,0.02387450506795049,51.58437249660374,4.865010999999868,241.4034800999998,0.1132130000005418,0.020153027611634136,42.972194005781894
3200,5.27706439999929,251.0972285000007,0.11222709999856306,0.021016020095177095,47.02130234200881,4.730698900000789,250.4965473000011,0.13317079999978887,0.018885285849210457,35.52354495135787,4.827631800000745,250.62614280000162,0.11110789999838744,0.019262283439653662,43.44994190395832,5.679260900000372,261.85297340000034,0.11648670000067796,0.02168873939546552,48.75458657483917,4.814215799999147,251.14845969999988,0.11168189999989409,0.01916880480075327,43.10649979991129
3300,5.7428073000010045,267.74246160000075,0.11483690000022762,0.021448997165718853,50.008379710612374,5.473778999999922,273.3135239000003,0.11618689999886556,0.020027472193445736,47.111843073989995,5.528384400000505,274.73753580000084,0.11811380000108329,0.02012242114606783,46.80557563933935,5.635055999999167,270.6061506999995,0.11603460000151244,0.020823828229412002,48.56358362010743,5.153117199999542,269.90469230000053,0.12386269999842625,0.019092358699239746,41.60346254413165
3400,5.793663299999025,289.53097180000077,0.11998630000016419,0.020010513085975176,48.28604015617697,6.09939680000025,294.76935220000087,0.11996390000058454,0.02069209961781173,50.843602116724526,5.577134799998021,286.94155200000023,0.1229246000002604,0.019436483705915192,45.370371756232736,5.591655799998989,284.2130305999999,0.11900619999869377,0.019674171125069417,46.98625617875677,5.160904699998355,281.90344710000136,0.11717760000101407,0.018307348679449085,44.04344089615841
3500,6.056312400000024,300.4497842000019,0.12052620000031311,0.020157486270545925,50.24892844862188,5.897747799997887,299.89632379999966,0.12228330000289134,0.019665955638492872,48.230198235232756,5.7981022999993,305.30328440000085,0.12656590000187862,0.018991287012827446,45.81093564627786,6.435271800000919,308.1161479000002,0.12091510000027483,0.020885863476683152,53.221407417157096,4.8466302000015276,306.68352669999877,0.12212689999796567,0.015803360070078216,39.68519793822868
3600,6.645719099997223,325.6885876999986,0.12048589999903925,0.020405133464850757,55.15764998269686,6.2937371999978495,324.21423069999946,0.12117349999971339,0.019412279301896356,51.93988124476669,5.809757500002888,326.25959090000106,0.12942029999976512,0.01780716233958494,44.89061994148856,6.6939442999973835,332.9969087999998,0.12206569999761996,0.02010212144046602,54.83886382602076,5.081953300003079,324.1230392999969,0.1236267999993288,0.015679086901623805,41.107213808257356
3700,6.133847199998854,342.61812590000045,0.1306592000000819,0.01790286834325027,46.94539075698465,5.829973799998697,333.9420629999986,0.1278375000001688,0.017458039719898125,45.604566735042525,5.997104499998386,338.00909370000227,0.13203840000278433,0.01774243537163848,45.41939693204343,6.0233250000019325,341.2394456999973,0.12779890000092564,0.01765131515685726,47.13127421251909,4.856885400000465,336.8629467000028,0.12433210000017425,0.014417986446950547,39.0638089438983
3800,6.60729160000119,357.43754550000085,0.13468730000022333,0.01848516386480495,49.05653019987953,6.0930404999999155,356.7327555000011,0.13583039999866742,0.017080126245933972,44.857708584084946,5.916298000000097,358.2184579999994,0.1272449999996752,0.016515893773402675,46.49532791084285,6.423940299999231,358.43419340000037,0.1363238999983878,0.017922230686374087,47.12262706741226,5.503120900000795,359.35675640000045,0.13926429999992251,0.015313809472042497,39.51566122835398
3900,7.375289299998258,382.33871139999974,0.14669009999852278,0.01928993607001591,50.27803035155426,6.095023199999559,378.8212003999979,0.13891599999988102,0.016089445874633772,43.875602522422035,6.751605000001291,377.65039070000057,0.13263629999710247,0.017877924043681603,50.90314642483833,6.846083799999178,378.8421391000011,0.13272569999753614,0.018071072601012983,51.58069462151087,5.455307399999583,380.1201700999991,0.1314648000006855,0.01435153361781471,41.49633514044168
4000,6.877275999999256,398.20551599999817,0.13707719999729306,0.017270669851794037,50.170823449377906,7.287688899999921,393.15889980000065,0.1350084000005154,0.018536242989048848,53.97952201471983,6.8505771000018285,396.9144342999971,0.14696340000227792,0.017259581683098994,46.61417128275234,7.121710699997493,392.75200889999905,0.14056890000210842,0.018132843470218363,50.663487442035,5.972828899997694,397.37970249999853,0.13120550000166986,0.015030533422873344,45.522702172711334
4100,7.00350520000211,417.6524879999997,0.1512299999994866,0.016768738128532624,46.310290286490016,6.799022600000171,416.5663944000007,0.15808430000106455,0.01632158208487535,43.00884148491904,6.8970260999994935,413.7441433000022,0.13778369999999995,0.01666978544998647,50.05690876351481,6.968023400000675,412.5512933000027,0.1349783000005118,0.016890077702249755,51.623286113206746,6.51421130000017,410.9310164000017,0.1444818000018131,0.015852323236801413,45.08672580157794
4200,7.2932861000008415,440.9310071,0.1432569999997213,0.016540651445605358,50.91050419885262,6.567776600000798,437.1148185999991,0.14176819999920554,0.015025289284486433,46.32757275635582,7.522206999998161,445.72221660000287,0.14780460000110907,0.016876446180713246,50.892915375717116,7.667810900002223,443.4384871000002,0.14006290000179433,0.017291712657032065,54.74548149370027,6.0015282000022125,441.92987440000434,0.15532620000158204,0.013580272680479719,38.638222012391246
4300,7.86485079999693,462.74951480000163,0.15170129999751225,0.016995913660538542,51.844320385691525,6.840975099999923,458.5654308999947,0.14664949999860255,0.014918209352531468,46.64847203751197,6.631280800000241,460.2825128999975,0.1446674000035273,0.014406979657384841,45.83811418355867,7.513918500000727,461.4295026999971,0.15084520000527846,0.01628400103598485,49.81211533239239,5.054696699997294,457.4155247000017,0.14131130000168923,0.011050557812423272,35.76993984158995
